DOCUMENT ID,RECORD TYPE,REFERENCE BY CRFN ,REFERENCE BY DOC ID,REFERENCE BY REEL YEAR,REFERENCE BY REEL BOROUGH,REFERENCE BY REEL NBR,REFERENCE BY REEL PAGE,GOOD THROUGH DATE
2014021001430002,X,2003000496122,,0,0,0,0,02/28/2014
2014021200220002,X,,,1999,4,5182,983,02/28/2014
2014021001482002,X,2007000604351,,0,0,0,0,02/28/2014
2014021100760002,X,,,2001,4,5823,1170,02/28/2014
2014021100913002,X,2003000393094,,0,0,0,0,02/28/2014
2014021100801002,X,,,2001,4,5916,2201,02/28/2014
2014021300034001,X,2004000140160,,0,0,0,0,02/28/2014
2014012700887004,X,2013000460316,,0,0,0,0,02/28/2014
2014022100649001,X,,,2000,2,1780,1084,02/28/2014
2014022600981001,X,2009000152916,,0,0,0,0,02/28/2014
2014021300349001,X,2013000459654,,0,0,0,0,02/28/2014
2014021001392002,X,2005000031820,,0,0,0,0,02/28/2014
2014021001248002,X,,,2002,1,3675,1414,02/28/2014
2014021100494002,X,2006000640439,,0,0,0,0,02/28/2014
2014021001493002,X,,,2002,1,3565,2477,02/28/2014
2014021001406002,X,2004000792316,,0,0,0,0,02/28/2014
2014021001156002,X,2004000173844,,0,0,0,0,02/28/2014
2014021001416002,X,2005000349141,,0,0,0,0,02/28/2014
2014012900850001,X,2008000294999,,0,0,0,0,02/28/2014
2014020700481002,X,2006000500489,,0,0,0,0,02/28/2014
2014021001347002,X,2007000439149,,0,0,0,0,02/28/2014
2014020700567002,X,2003000504456,,0,0,0,0,02/28/2014
2014021200090002,X,2007000510209,,0,0,0,0,02/28/2014
2014020700307002,X,2007000612723,,0,0,0,0,02/28/2014
2014020700331002,X,,,2002,1,3458,865,02/28/2014
2014022600981002,X,2009000152916,,0,0,0,0,02/28/2014
2014020600984008,X,,2014020600984007,0,0,0,0,02/28/2014
2014012000194002,X,,,2001,1,3405,2227,02/28/2014
2014021000934004,X,,2014021000934001,0,0,0,0,02/28/2014
2014013000322002,X,2010000331039,,0,0,0,0,02/28/2014
2013112600995002,X,2012000268097,,0,0,0,0,02/28/2014
2014021200910001,X,2006000440656,,0,0,0,0,02/28/2014
2014020500256002,X,2013000123748,,0,0,0,0,02/28/2014
2014021801043001,X,2004000614771,,0,0,0,0,02/28/2014
2014020701032001,X,2007000568763,,0,0,0,0,02/28/2014
2014021900043001,X,2009000178776,,0,0,0,0,02/28/2014
2014021900038001,X,2011000136119,,0,0,0,0,02/28/2014
2014021901118001,X,2006000553931,,0,0,0,0,02/28/2014
2014022501076001,X,2005000485889,,0,0,0,0,02/28/2014
2014021900958001,X,2005000470762,,0,0,0,0,02/28/2014
2014021300729001,X,2006000402215,,0,0,0,0,02/28/2014
2014022400430001,X,2012000050085,,0,0,0,0,02/28/2014
2014012401287001,X,2004000735665,,0,0,0,0,02/28/2014
2014022501235001,X,2005000108633,,0,0,0,0,02/28/2014
2014021900832001,X,2003000475153,,0,0,0,0,02/28/2014
2014022600817001,X,2009000338233,,0,0,0,0,02/28/2014
2013092500502001,X,2008000151876,,0,0,0,0,02/28/2014
2014021800347002,X,2007000589123,,0,0,0,0,02/28/2014
2014022600795001,X,2006000503712,,0,0,0,0,02/28/2014
2014012500079001,X,2004000386526,,0,0,0,0,02/28/2014
2014021900188006,X,,,1988,4,2715,1854,02/28/2014
2014011400263001,X,2007000579253,,0,0,0,0,02/28/2014
2014022500776001,X,2007000327132,,0,0,0,0,02/28/2014
2014022600267001,X,,,1987,4,2430,1041,02/28/2014
2014021900188003,X,,,2000,4,5576,728,02/28/2014
2014022600267002,X,,,1987,4,2430,1041,02/28/2014
2014022101245001,X,2007000035277,,0,0,0,0,02/28/2014
2014022501143002,X,,,1991,2,1050,970,02/28/2014
2014022501152001,X,,,1988,2,872,1172,02/28/2014
2014022100302001,X,2011000276532,,0,0,0,0,02/28/2014
2014022501152002,X,,,1988,2,872,1172,02/28/2014
2014022000118002,X,2012000216282,,0,0,0,0,02/28/2014
2014022000101001,X,2004000749946,,0,0,0,0,02/28/2014
2014022600540001,X,2007000233995,,0,0,0,0,02/28/2014
2014021801056001,X,,,1999,3,4380,366,02/28/2014
2014022500428001,X,2004000661306,,0,0,0,0,02/28/2014
2014021400274001,X,2004000454331,,0,0,0,0,02/28/2014
2014021900619001,X,2006000136475,,0,0,0,0,02/28/2014
2014021801056002,X,,,1999,3,4380,366,02/28/2014
2014010900568001,X,,,1989,4,2754,1423,02/28/2014
2014021900033001,X,,,1987,2,797,1876,02/28/2014
2014012700887006,X,2013000460316,,0,0,0,0,02/28/2014
2014022101180002,X,,,1938,3,8248,433,02/28/2014
2014021800313001,X,2006000659357,,0,0,0,0,02/28/2014
2014022100905001,X,2012000117870,,0,0,0,0,02/28/2014
2014022501010001,X,2005000599426,,0,0,0,0,02/28/2014
2014010900533002,X,,,1993,4,3578,1419,02/28/2014
2014010800136001,X,2012000356317,,0,0,0,0,02/28/2014
2014021500018001,X,2008000052346,,0,0,0,0,02/28/2014
2014022501107001,X,2007000585624,,0,0,0,0,02/28/2014
2014021900040001,X,2009000405466,,0,0,0,0,02/28/2014
2014021800338001,X,2007000276729,,0,0,0,0,02/28/2014
2014021800233001,X,2008000328914,,0,0,0,0,02/28/2014
2014021200536003,X,2006000024541,,0,0,0,0,02/28/2014
2014021800157001,X,2005000386629,,0,0,0,0,02/28/2014
2014021901109001,X,2013000069383,,0,0,0,0,02/28/2014
2014021901130001,X,2006000603653,,0,0,0,0,02/28/2014
2014021901133001,X,2006000253576,,0,0,0,0,02/28/2014
2014020300629001,X,2007000554800,,0,0,0,0,02/28/2014
2014022500746001,X,2005000642942,,0,0,0,0,02/28/2014
2014021901189001,X,2007000356783,,0,0,0,0,02/28/2014
2014021901204001,X,2005000227643,,0,0,0,0,02/28/2014
2014021700473001,X,2008000061261,,0,0,0,0,02/28/2014
2014021901180001,X,2005000687442,,0,0,0,0,02/28/2014
2014021800080004,X,2004000698142,,0,0,0,0,02/28/2014
2014020300040004,X,2011000435545,,0,0,0,0,02/28/2014
2014022500910001,X,2006000484222,,0,0,0,0,02/28/2014
2014022001184001,X,2008000354658,,0,0,0,0,02/28/2014
2014022500986001,X,2005000653820,,0,0,0,0,02/28/2014
2014022001184002,X,,,1998,3,4323,1155,02/28/2014
2014022500936001,X,2005000509336,,0,0,0,0,02/28/2014
2014021200214003,X,2013000317173,,0,0,0,0,02/28/2014
2014021400661001,X,2012000376284,,0,0,0,0,02/28/2014
2014012700887008,X,2013000460316,,0,0,0,0,02/28/2014
2014021000453006,X,2007000260658,,0,0,0,0,02/28/2014
2014021901156001,X,2007000110086,,0,0,0,0,02/28/2014
2014013001161001,X,2005000492520,,0,0,0,0,02/28/2014
2013112200126001,X,2004000449031,,0,0,0,0,02/28/2014
2014021900745001,X,,,2000,3,4840,539,02/28/2014
