DOCUMENT ID,RECORD TYPE,BOROUGH,BLOCK,LOT,EASEMENT,PARTIAL LOT,AIR RIGHTS,SUBTERRANEAN RIGHTS,PROPERTY TYPE,STREET NUMBER,STREET NAME,UNIT,GOOD THROUGH DATE
2014020400323001,L,4,16113,1022,N,E,N,N,SC,2-21,BEACH 80 STREET,3F,02/28/2014
2014012400369001,L,3,4059,106,N,E,N,N,D1,573,HENDRIX STREET,,02/28/2014
2014020700514001,L,2,2878,80,N,E,N,N,NA,1648,ANDREWS AVENUE SOUTH,,02/28/2014
2014020400618004,L,3,6774,57,N,E,N,N,CR,1997,CONEY ISLAND AVENUE,,02/28/2014
2014020400618003,L,3,6774,61,N,E,N,N,CR,1987-2001,CONEY ISLAND AVENUE,,02/28/2014
2014020600643001,L,4,15714,60,N,E,N,N,NA,10-96,GIPSON STREET,,02/28/2014
2014020601433001,L,2,5467,1014,N,E,N,N,SC,1490B,SHORE DRIVE,6B,02/28/2014
2014013000909001,L,3,815,71,N,E,N,N,D2,415,54TH   STREET,,02/28/2014
2014012800338001,L,4,5511,97,N,E,N,N,D1,43-41,172ND   STREET,,02/28/2014
2014020300599001,L,4,2130,42,N,E,N,N,D2,102-39,66TH   AVENUE,,02/28/2014
2014010700392001,L,4,1390,10,N,E,N,N,D1,30-08,93RD   STREET,,02/28/2014
2014020600068005,L,1,1027,1313,N,E,N,N,TS,870,7 AVENUE,1604,02/28/2014
2014013000528001,L,3,3610,50,N,E,N,N,D2,492,AMBOY STREET,,02/28/2014
2014012900796001,L,1,1090,1062,N,E,N,N,SC,635,WEST 42ND   STREET,18B,02/28/2014
2014020700271001,L,3,5215,161,N,E,N,N,D3,478,EAST 29TH STREET,,02/28/2014
2014021200992001,L,4,2857,36,N,E,N,N,CR,90-02,QUEENS BOULEVARD,,02/28/2014
2014021200992001,L,4,2860,16,N,E,N,N,OT,87-28,58TH   AVENUE,,02/28/2014
2014022500408001,L,3,2060,1,N,E,N,N,CR,270,FLATBUSH AVENUE EXT,,02/28/2014
2014022500379001,L,4,13037,56,N,E,N,N,D1,218-43,140TH   AVENUE,,02/28/2014
2014021900998001,L,4,11554,23,N,E,N,N,RP,149-27,TAHOE STREET,,02/28/2014
2014021901038001,L,4,2780,14,N,E,N,N,RP,60-40,68TH   STREET,,02/28/2014
2014013100290001,L,3,580,25,N,E,N,N,CR,82,LORRAINE STREET,,02/28/2014
2014020300147002,L,3,55,1304,N,E,N,N,SC,185,YORK STREET,1C,02/28/2014
